method,objective,models_embedded,solve_time,iterations,feasibility_rate,constraint_violation_rates,worst_violation,true_constraint_value,noise_std,draw
nominal,-1.3246849280349435,1,1.2989957332611084,,0.0,[1.0],0.10205268700768211,1.102052687007682,0.05,4
robust_reg,-1.3073991785725938,1,0.7429475784301758,,0.0,[1.0],0.06926607298054832,1.0692660729805483,0.05,4
wrapper,-1.278517979905538,20,69.64933443069458,,0.0,[1.0],0.02361844490666032,1.0236184449066603,0.05,4
cp,-1.2568579313826949,4,22.84893560409546,4.0,1.0,[0.0],0.0,0.9874179108712289,0.05,4
nominal,-1.3342674111009367,1,0.8501527309417725,,0.0,[1.0],0.11459103142908278,1.1145910314290828,0.05,5
robust_reg,-1.3358301204545777,1,0.8052277565002441,,0.0,[1.0],0.11834709662221599,1.118347096622216,0.05,5
wrapper,-1.274577813229761,20,74.23245644569397,,0.0,[1.0],0.015914884829461462,1.0159148848294615,0.05,5
cp,-1.3333118323998905,8,72.20441818237305,8.0,0.0,[1.0],0.11294688149956333,1.1129468814995633,0.05,5
nominal,-1.3442678054053494,1,0.5842220783233643,,0.0,[1.0],0.146850030435987,1.146850030435987,0.05,6
robust_reg,-1.3581718608310436,1,1.2398362159729004,,0.0,[1.0],0.2163454687904376,1.2163454687904376,0.05,6
wrapper,-1.2601373992066023,20,103.18431377410889,,0.0,[1.0],0.027885629305154147,1.0278856293051541,0.05,6
cp,,21,350.6145541667938,20.0,0.0,[nan],,,0.05,6
nominal,-1.3194541938875548,1,1.2214398384094238,,0.0,[1.0],0.12251587821843368,1.1225158782184337,0.05,7
robust_reg,-1.298017570889661,1,1.4963555335998535,,0.0,[1.0],0.09391412186501213,1.0939141218650121,0.05,7
wrapper,-1.2697523188011486,20,54.73335909843445,,0.0,[1.0],0.019863838439889037,1.019863838439889,0.05,7
cp,-1.2560780376168836,6,47.8026065826416,6.0,0.0,[1.0],0.007605296599017208,1.0076052965990172,0.05,7
nominal,-1.3889759493086369,1,1.3371942043304443,,0.0,[1.0],0.34579026379487376,1.3457902637948738,0.05,8
robust_reg,-1.339286450577177,1,1.3765957355499268,,0.0,[1.0],0.13373616082113182,1.1337361608211318,0.05,8
wrapper,-1.2859754515372406,20,111.66654133796692,,0.0,[1.0],0.046573080001493405,1.0465730800014934,0.05,8
cp,,21,381.6058452129364,20.0,0.0,[nan],,,0.05,8
nominal,-1.3865864199583382,1,0.554147481918335,,0.0,[1.0],0.20383026988196562,1.2038302698819656,0.05,9
robust_reg,-1.364588831989884,1,0.8544502258300781,,0.0,[1.0],0.1653741228108201,1.16537412281082,0.05,9
wrapper,-1.3119452916597196,20,51.45421290397644,,0.0,[1.0],0.09821256450200977,1.0982125645020098,0.05,9
cp,,21,115.09856247901917,20.0,0.0,[nan],,,0.05,9
nominal,-1.3055229373205333,1,1.260451078414917,,0.0,[1.0],0.06739423762430152,1.0673942376243015,0.1,0
robust_reg,-1.3489684711067667,1,1.5940988063812256,,0.0,[1.0],0.16755447507228394,1.167554475072284,0.1,0
wrapper,-1.2470893242596812,20,135.4894015789032,,1.0,[0.0],0.0,0.9813482629404989,0.1,0
cp,-1.238062831192492,6,29.717888116836548,6.0,1.0,[0.0],0.0,0.9692268322797353,0.1,0
nominal,-1.3914134498303201,1,0.3953843116760254,,0.0,[1.0],0.21823411544153237,1.2182341154415324,0.1,1
robust_reg,-1.352102617870055,1,1.210439682006836,,0.0,[1.0],0.14300531268347028,1.1430053126834703,0.1,1
wrapper,-1.2883169501949658,20,93.76836276054382,,0.0,[1.0],0.03759449521570302,1.037594495215703,0.1,1
cp,-1.2794315059760508,8,49.6758234500885,8.0,0.0,[1.0],0.023534399066384992,1.023534399066385,0.1,1
nominal,-1.3672544695416373,1,0.8636965751647949,,0.0,[1.0],0.17459996168106295,1.174599961681063,0.1,2
robust_reg,-1.3545904656909087,1,1.4442996978759766,,0.0,[1.0],0.19148765981337346,1.1914876598133735,0.1,2
wrapper,-1.2471123540081734,20,68.24606275558472,,1.0,[0.0],0.0,0.9870070523856337,0.1,2
cp,,21,133.94092345237732,20.0,0.0,[nan],,,0.1,2
nominal,-1.3210720382474745,1,1.709610939025879,,0.0,[1.0],0.1556824363475049,1.155682436347505,0.1,3
robust_reg,-1.310218229826718,1,1.4120104312896729,,0.0,[1.0],0.10420054440646309,1.104200544406463,0.1,3
wrapper,-1.2253760064955732,20,254.99688148498535,,1.0,[0.0],0.0,0.9673712686743879,0.1,3
cp,-1.221797261087172,7,118.90535998344421,7.0,1.0,[0.0],0.0,0.9626476204775529,0.1,3
nominal,-1.3246849280349435,1,1.273970365524292,,0.0,[1.0],0.10205268700768233,1.1020526870076823,0.1,4
robust_reg,-1.3034940811562001,1,1.5697264671325684,,0.0,[1.0],0.14606681466544735,1.1460668146654474,0.1,4
wrapper,-1.283395882560782,20,162.4904923439026,,0.0,[1.0],0.03170423804375799,1.031704238043758,0.1,4
cp,-1.2417930146291594,9,55.039687633514404,9.0,1.0,[0.0],0.0,0.9688768790571565,0.1,4
nominal,-1.3502464556875777,1,0.8040523529052734,,0.0,[1.0],0.14056029939715153,1.1405602993971515,0.1,5
robust_reg,-1.3253585390818428,1,1.4575252532958984,,0.0,[1.0],0.1323238377068483,1.1323238377068483,0.1,5
wrapper,-1.2703380450366957,20,65.78799080848694,,0.0,[1.0],0.009053776689750936,1.009053776689751,0.1,5
cp,-1.2884556706341317,11,76.92911434173584,11.0,0.0,[1.0],0.048926111392674665,1.0489261113926747,0.1,5
nominal,-1.317335742767764,1,0.7471494674682617,,0.0,[1.0],0.10684868745550213,1.1068486874555021,0.1,6
robust_reg,-1.337552631972288,1,2.573915958404541,,0.0,[1.0],0.13261788790534768,1.1326178879053477,0.1,6
wrapper,-1.2542624740127593,20,217.62787318229675,,0.0,[1.0],0.020020279899702897,1.020020279899703,0.1,6
cp,,21,154.76736521720886,20.0,0.0,[nan],,,0.1,6
nominal,-1.3230041006232334,1,0.8109555244445801,,0.0,[1.0],0.10885691932258545,1.1088569193225855,0.1,7
robust_reg,-1.3085304398942026,1,0.8596756458282471,,0.0,[1.0],0.08729391727665892,1.087293917276659,0.1,7
wrapper,-1.248749462323083,20,92.75579905509949,,0.0,[1.0],0.0026706440459933756,1.0026706440459934,0.1,7
cp,-1.2357471324755616,12,115.96097350120544,12.0,1.0,[0.0],0.0,0.9724441229437051,0.1,7
nominal,-1.3943363724087035,1,2.8362250328063965,,0.0,[1.0],0.35068828224220727,1.3506882822422073,0.1,8
robust_reg,-1.3506760692544821,1,2.0035388469696045,,0.0,[1.0],0.1498035800545161,1.149803580054516,0.1,8
wrapper,-1.3018575443157334,20,263.37464594841003,,0.0,[1.0],0.07562251259539998,1.0756225125954,0.1,8
cp,,21,275.4830913543701,20.0,0.0,[nan],,,0.1,8
nominal,-1.4499095380469282,1,0.7726147174835205,,0.0,[1.0],0.3165510262735305,1.3165510262735305,0.1,9
robust_reg,-1.3334650253751126,1,1.0377137660980225,,0.0,[1.0],0.18133255329749676,1.1813325532974968,0.1,9
wrapper,-1.3220161869416491,20,97.85913372039795,,0.0,[1.0],0.09239695777587609,1.092396957775876,0.1,9
cp,-1.2983940198845463,7,31.342193603515625,7.0,0.0,[1.0],0.08740267619250663,1.0874026761925066,0.1,9
nominal,-1.333101617631475,1,1.9858238697052002,,0.0,[1.0],0.27750749648444284,1.2775074964844428,0.2,0
robust_reg,-1.3986457192464112,1,2.030874490737915,,0.0,[1.0],0.222689241774495,1.222689241774495,0.2,0
wrapper,-1.2480228616332787,20,118.25085067749023,,1.0,[0.0],0.0,0.9829148184761454,0.2,0
cp,-1.2352586343687344,14,119.37467408180237,14.0,1.0,[0.0],0.0,0.9652588858646356,0.2,0
nominal,-1.357000386251217,1,1.4987139701843262,,0.0,[1.0],0.15145948017520228,1.1514594801752023,0.2,1
robust_reg,-1.4637961285169463,1,0.6710109710693359,,0.0,[1.0],0.3432462946455792,1.3432462946455792,0.2,1
wrapper,-1.2888758883296023,20,137.0923047065735,,0.0,[1.0],0.039368480362174996,1.039368480362175,0.2,1
cp,-1.3245458637939238,10,108.72769260406494,10.0,0.0,[1.0],0.09656989461952814,1.0965698946195281,0.2,1
nominal,-1.3803991023139892,1,1.242422103881836,,0.0,[1.0],0.1988868039629923,1.1988868039629923,0.2,2
robust_reg,-1.3493725825485203,1,1.3792970180511475,,0.0,[1.0],0.14629540872480318,1.1462954087248032,0.2,2
wrapper,-1.280457214631804,20,162.52123975753784,,0.0,[1.0],0.0275422930301783,1.0275422930301783,0.2,2
cp,-1.3732058207757225,10,97.37960934638977,10.0,0.0,[1.0],0.18111194027298616,1.1811119402729862,0.2,2
nominal,-1.3424864448984204,1,1.5414094924926758,,0.0,[1.0],0.19162085196198264,1.1916208519619826,0.2,3
robust_reg,-1.3835336095083388,1,1.0078234672546387,,0.0,[1.0],0.2039203196013415,1.2039203196013415,0.2,3
wrapper,-1.221797261087172,20,341.8747968673706,,1.0,[0.0],0.0,0.962647620477553,0.2,3
cp,-1.2362114757229894,16,268.1387436389923,16.0,1.0,[0.0],0.0,0.9566163737792461,0.2,3
nominal,-1.3533632822581692,1,1.2772059440612793,,0.0,[1.0],0.1468736289489645,1.1468736289489645,0.2,4
robust_reg,-1.3982875400455894,1,1.3378102779388428,,0.0,[1.0],0.3322574343270226,1.3322574343270226,0.2,4
wrapper,-1.3096363341043609,20,83.8035638332367,,0.0,[1.0],0.0780781004396931,1.078078100439693,0.2,4
cp,-1.4548437339270528,15,105.36581063270569,15.0,0.0,[1.0],0.3463578067350437,1.3463578067350437,0.2,4
nominal,-1.4076235145859788,1,0.4337637424468994,,0.0,[1.0],0.23849581447623036,1.2384958144762304,0.2,5
robust_reg,-1.4041233181722985,1,1.4451560974121094,,0.0,[1.0],0.2323960015463531,1.232396001546353,0.2,5
wrapper,-1.2958504578640597,20,201.76598978042603,,0.0,[1.0],0.05080146235517202,1.050801462355172,0.2,5
cp,-1.3572549944539705,16,122.93436670303345,16.0,0.0,[1.0],0.1559561440764956,1.1559561440764956,0.2,5
nominal,-1.3789165388252487,1,1.1290256977081299,,0.0,[1.0],0.24709751720391937,1.2470975172039194,0.2,6
robust_reg,-1.388412749300822,1,2.658132314682007,,0.0,[1.0],0.3450708384698342,1.3450708384698342,0.2,6
wrapper,-1.2877495763962477,20,249.20951771736145,,0.0,[1.0],0.11962963294711937,1.1196296329471194,0.2,6
cp,,21,278.77097845077515,20.0,0.0,[nan],,,0.2,6
nominal,-1.3495807378323033,1,1.6690642833709717,,0.0,[1.0],0.1847685171622202,1.1847685171622202,0.2,7
robust_reg,-1.4211009509202692,1,1.9693632125854492,,0.0,[1.0],0.2960642485541143,1.2960642485541143,0.2,7
wrapper,-1.248817540503227,20,305.4785068035126,,0.0,[1.0],0.017150019432885966,1.017150019432886,0.2,7
cp,,21,218.83392906188965,20.0,0.0,[nan],,,0.2,7
nominal,-1.3889759493086369,1,0.6272907257080078,,0.0,[1.0],0.34579026379487376,1.3457902637948738,0.2,8
robust_reg,-1.402354231869444,1,1.7460076808929443,,0.0,[1.0],0.36306604383797225,1.3630660438379723,0.2,8
wrapper,-1.2859546083044158,20,256.2268464565277,,0.0,[1.0],0.04961403224164118,1.0496140322416412,0.2,8
cp,,21,248.52760553359985,20.0,0.0,[nan],,,0.2,8
nominal,-1.4552285822285453,1,0.5136401653289795,,0.0,[1.0],0.3255531189035288,1.3255531189035288,0.2,9
robust_reg,-1.402449020687515,1,0.8472843170166016,,0.0,[1.0],0.2419884438731157,1.2419884438731157,0.2,9
wrapper,-1.3164513544941006,20,233.29748487472534,,0.0,[1.0],0.10475747826268855,1.1047574782626886,0.2,9
cp,-1.2843365653885979,6,26.314905166625977,6.0,0.0,[1.0],0.046148062910450705,1.0461480629104507,0.2,9
nominal,-1.5645603302784812,1,0.9162547588348389,,0.0,[1.0],0.538799566527218,1.538799566527218,0.5,0
robust_reg,-1.7091268923456655,1,0.7217447757720947,,0.0,[1.0],0.857424395620654,1.857424395620654,0.5,0
wrapper,-1.5043220335815874,20,297.0104901790619,,0.0,[1.0],0.417940958619724,1.417940958619724,0.5,0
cp,,21,347.9951057434082,20.0,0.0,[nan],,,0.5,0
nominal,-1.5599158591008229,1,1.4898595809936523,,0.0,[1.0],0.5867366346584111,1.586736634658411,0.5,1
robust_reg,-1.501231724570257,1,1.0155303478240967,,0.0,[1.0],0.41606650256628197,1.416066502566282,0.5,1
wrapper,-1.3014058794945043,20,410.5583276748657,,0.0,[1.0],0.05947396655091852,1.0594739665509185,0.5,1
cp,,21,360.64428067207336,20.0,0.0,[nan],,,0.5,1
nominal,-1.4928955201377274,1,1.0553863048553467,,0.0,[1.0],0.41428560588477037,1.4142856058847704,0.5,2
robust_reg,-1.6836328927029607,1,1.5859498977661133,,0.0,[1.0],0.7847593847595007,1.7847593847595007,0.5,2
wrapper,-1.2902630878661325,20,332.60683846473694,,0.0,[1.0],0.041498729271707946,1.041498729271708,0.5,2
cp,,21,530.5702378749847,20.0,0.0,[nan],,,0.5,2
nominal,-1.5322530362207203,1,0.9588432312011719,,0.0,[1.0],0.5494198126765357,1.5494198126765357,0.5,3
robust_reg,-1.4046336510150124,1,2.7321975231170654,,0.0,[1.0],0.36604521704124493,1.366045217041245,0.5,3
wrapper,-1.2835999387483017,20,257.8463521003723,,0.0,[1.0],0.2222288946321911,1.222228894632191,0.5,3
cp,,21,492.77339577674866,20.0,0.0,[nan],,,0.5,3
nominal,-1.688899172373195,1,0.3490424156188965,,0.0,[1.0],0.808126051436171,1.808126051436171,0.5,4
robust_reg,-1.6833098247676341,1,1.0660946369171143,,0.0,[1.0],0.7957646698511658,1.7957646698511658,0.5,4
wrapper,-1.4137649443830267,20,216.9583547115326,,0.0,[1.0],0.3780839013918027,1.3780839013918027,0.5,4
cp,,21,332.6890993118286,20.0,0.0,[nan],,,0.5,4
nominal,-1.5394605214508195,1,0.42325592041015625,,0.0,[1.0],0.4860118265494524,1.4860118265494524,0.5,5
robust_reg,-1.4370211343078956,1,1.5455117225646973,,0.0,[1.0],0.3082935078043232,1.3082935078043232,0.5,5
wrapper,-1.3156547291757947,20,271.7269368171692,,0.0,[1.0],0.08526804756939388,1.0852680475693939,0.5,5
cp,-1.3599681323200365,7,44.99385142326355,7.0,0.0,[1.0],0.188359556018028,1.188359556018028,0.5,5
nominal,-1.5071430294672101,1,0.9443271160125732,,0.0,[1.0],0.49719272882033194,1.497192728820332,0.5,6
robust_reg,-1.4626968225639294,1,1.4668638706207275,,0.0,[1.0],0.4158542406953736,1.4158542406953736,0.5,6
wrapper,-1.3299145096900624,20,341.3744316101074,,0.0,[1.0],0.16106052739331078,1.1610605273933108,0.5,6
cp,,21,350.1669235229492,20.0,0.0,[nan],,,0.5,6
nominal,-1.5664827348444534,1,1.5317857265472412,,0.0,[1.0],0.6041440562990779,1.6041440562990779,0.5,7
robust_reg,-1.5838733129264781,1,1.1307945251464844,,0.0,[1.0],0.6213220328157902,1.6213220328157902,0.5,7
wrapper,-1.3201529017660758,20,581.6115758419037,,0.0,[1.0],0.10457603735515386,1.1045760373551539,0.5,7
cp,-1.3163714330876375,14,461.12378764152527,14.0,0.0,[1.0],0.09739123045600362,1.0973912304560036,0.5,7
nominal,-1.5737256272976947,1,0.7635197639465332,,0.0,[1.0],0.6146317267201837,1.6146317267201837,0.5,8
robust_reg,-1.623239904651047,1,1.4447300434112549,,0.0,[1.0],0.7000479310749697,1.7000479310749697,0.5,8
wrapper,-1.4005663941599211,20,222.95883965492249,,0.0,[1.0],0.35877600646089736,1.3587760064608974,0.5,8
cp,,21,458.284113407135,20.0,0.0,[nan],,,0.5,8
nominal,-1.5896682192053766,1,0.6197535991668701,,0.0,[1.0],0.5800076042440587,1.5800076042440587,0.5,9
robust_reg,-1.5007734880741674,1,1.3304598331451416,,0.0,[1.0],0.475993285233411,1.475993285233411,0.5,9
wrapper,-1.3745083657489832,20,303.1448287963867,,0.0,[1.0],0.18136776595920368,1.1813677659592037,0.5,9
cp,,21,203.7392919063568,20.0,0.0,[nan],,,0.5,9
